OBJECTID, GEO_ID, GEO_NAME, FIPS_CODE, English Only - Pop 5-17, English Only - Pop 5-17 *margin of error, English Only - Pop18-64, English Only - Pop18-64 *margin of error, English Only - Pop 65+, English Only - Pop 65+ *margin of error," Language Spoken at Home by Age - Spanish - Speak English ""less than very well"" 5 and over"," Language Spoken at Home by Age - Spanish - Speak ""less than very well"" 5 and over *margin of error English"," Language Spoken at Home by Age - Other Indo-European - Speak English ""less than very well"" 5 and over"," Language Spoken at Home by Age - Other Indo-European - Speak English ""less than very well"" 5 and over *margin of error"," Language Spoken at Home by Age - Asian Pacific Islands - Speak English ""less than very well"" 5 and over"," Language Spoken at Home by Age - Asian Pacific Islands - Speak English ""less than very well"" 5 and over *margin of error"," Language Spoken at Home by Age - Other Languages - Speak English ""less than very well"" 5 and over"," Language Spoken at Home by Age - Other Languages - Speak English ""less than very well"" 5 and over *margin of error", Language Spoken at Home - Spanish (Limited English HHs / all Limited English HHs), Language Spoken at Home - Other Indo-European (Limited English HHs / all Limited English HHs), Language Spoken at Home - Asian and Pacific Island (Limited English HHs / all Limited English HHs), Language Spoken at Home - Other (Limited English HHs / all Limited English HHs), English Only - Total, English Only - Total * margin of error, Spanish - Pop 5-17, Spanish - Pop 5-17 *margin of error, Spanish - Pop 18-64, Spanish - Pop 18-64 *margin of error, Spanish - Pop 65+, Spanish - Pop 65+ *margin of error, Spanish - Total, Spanish - Total *margin of error, Spanish - Speak English very well - Pop 5-17, Spanish - Speak English very well - Pop 5-17 *margin of error, Spanish - Speak English very well - Pop 18-64, Spanish - Speak English very well - Pop 18-64 *margin of error, Spanish - Speak English very well - Pop 65+, Spanish - Speak English very well - Pop 65+ *margin of error, Spanish - Speak English very well - Total, Spanish - Speak English very well - Total *margin of error, Spanish - English less than very well - Pop 5-17, Spanish - English less than very well - Pop 5-17 *margin of error, Spanish - English less than very well - Pop 18-64, Spanish - English less than very well - Pop 18-64 *margin of error, Spanish - English less than very well - Pop 65+, Spanish - English less than very well - Pop 65+ *margin of error, Spanish - English less than very well - Total, Spanish - English less than very well - Total * margin of error, Other Indo-European - Pop 5-17, Other Indo-European - Pop 5-17 *margin of error, Other Indo-European - Pop 18-64, Other Indo-European - Pop 18-64 *margin of error, Other Indo-European - Pop 65+, Other Indo-European - Pop 65+ *margin of error, Other Indo-European - Total, Other Indo-European - Total *margin of error, Other Indo-European - Speak English very well - Pop 5-17, Other Indo-European - Speak English very well - Pop 5-17 *margin of error, Other Indo-European - Speak English very well - Pop 18-64, Other Indo-European - Speak English very well - Pop 18-64 *margin of error, Other Indo-European - Speak English very well - Pop 65+, Other Indo-European - Speak English very well - Pop 65+ *margin of error, Other Indo-European - Speak English very well - Total, Other Indo-European - Speak English very well - Total *margin of error, Other Indo-European - English less than very well - Pop 5-17, Other Indo-European - English less than very well - Pop 5-17 *margin of error, Other Indo-European - English less than very well - Pop 18-64, Other Indo-European - English less than very well - Pop 18-64 *margin of error, Other Indo-European - English less than very well - Pop 65+, Other Indo-European - English less than very well - Pop 65+ *margin of error, Other Indo-European - English less than very well - Total, Other Indo-European - English less than very well - Total *margin of error, Asian-Pacific Island - Pop 5-17, Asian-Pacific Island - Pop 5-17 *margin of error, Asian-Pacific Island - Pop 18-64, Asian-Pacific Island - Pop 18-64 *margin of error, Asian-Pacific Island - Pop 65+, Asian-Pacific Island - Pop 65+ *margin of error, Asian-Pacific Island - Total, Asian-Pacific Island - Total *margin of error, Asian-Pacific Island - Speak English very well - Pop 5-17, Asian-Pacific Island - Speak English very well - Pop 5-17 *margin of error, Asian-Pacific Island - Speak English very well - Pop 18-64, Asian-Pacific Island - Speak English very well - Pop 18-64 *margin of error, Asian-Pacific Island - Speak English very well - Pop 65+, Asian-Pacific Island - Speak English very well - Pop 65+ *margin of error, Asian-Pacific Island - Speak English very well - Total, Asian-Pacific Island - Speak English very well - Total *margin of error, Asian-Pacific Island - English less than very well - Pop 5-17, Asian-Pacific Island - English less than very well - Pop 5-17 *margin of error, Asian-Pacific Island - English less than very well - Pop 18-64, Asian-Pacific Island - English less than very well - Pop 18-64 *margin of error, Asian-Pacific Island - English less than very well - Pop 65+, Asian-Pacific Island - English less than very well - Pop 65+ *margin of error, Asian-Pacific Island - English less than very well - Total, Asian-Pacific Island - English less than very well - Total *margin of error, Other Languages - Pop 5-17, Other Languages - Pop 5-17 *margin of error, Other Languages -Pop 18-64, Other Languages -Pop 18-64 *margin of error, Other Languages - Pop 65+, Other Languages - Pop 65+ *margin of error, Other Languages - Total, Other Languages - Total *margin of error, Other Languages - Speak English very well - Pop 5-17, Other Languages - Speak English very well - Pop 5-17 *margin of error, Other Languages - Speak English very well - Pop 18-64, Other Languages - Speak English very well - Pop 18-64 *margin of error, Other Languages - Speak English very well - Pop 65+, Other Languages - Speak English very well - Pop 65+ *margin of error, Other Languages - Speak English very well - Total, Other Languages - Speak English very well - Total *margin of error, Other Languages - English less than very well - Pop 5-17, Other Languages - English less than very well - Pop 5-17 *margin of error, Other Languages - English less than very well - Pop 18-64, Other Languages - English less than very well - Pop 18-64 *margin of error, Other Languages - English less than very well - Pop 65+, Other Languages - English less than very well - Pop 65+ *margin of error, Other Languages - English less than very well - Total, Other Languages - English less than very well - Total *margin of error, Percent of Households with Limited English Speaking Status, Percent of Households with Limited English Speaking Status *margin of error
1,0400000US01,Alabama,1,754381,1949,2815595,3062,765597,1059,63979,2326,8796,833,20461,1451,3190,538,62.05,9.26,24.77,3.92,4335573,4440,40399,1607,100779,1963,7242,579,148420,3072,30794,1505,49362,1981,4285,489,84441,2743,9605,1064,51417,1915,2957,331,63979,2326,4077,524,25624,1584,6399,648,36100,1870,3380,506,19214,1368,4710,529,27304,1475,697,225,6410,690,1689,301,8796,833,5847,679,30635,1250,3632,373,40114,1698,3910,515,14280,1117,1463,302,19653,1464,1937,420,16355,1162,2169,314,20461,1451,1964,604,9422,1100,962,206,12348,1567,1854,593,6654,869,650,170,9158,1331,110,60,2768,519,312,132,3190,538,1.2,0.1
2,0400000US02,Alaska,2,113707,836,393179,1816,66487,619,6432,686,3354,523,18061,1135,5672,520,20.42,9.95,52.64,16.98,573373,2326,3921,576,18803,966,1654,246,24378,1319,3259,548,13711,884,976,201,17946,1147,662,257,5092,613,678,153,6432,686,2427,434,11118,929,2037,395,15582,1334,1983,403,8821,733,1424,269,12228,1049,444,147,2297,410,613,260,3354,523,5843,578,29234,923,3894,287,38971,1245,4066,619,15747,746,1097,243,20910,1016,1777,455,13487,860,2797,307,18061,1135,6000,452,21616,854,4356,237,31972,1177,5208,447,18150,777,2942,235,26300,1082,792,239,3466,398,1414,103,5672,520,2.1,0.2
3,0400000US04,Arizona,4,853969,4459,2920527,7403,965545,1814,447267,5315,29921,1718,55102,2002,44713,1936,72.16,6.29,11.11,10.44,4740041,9965,290221,4156,924389,5526,123779,1308,1338389,8106,249415,3995,576552,5197,65155,1328,891122,7150,40806,1811,347837,4327,58624,1404,447267,5315,13113,1191,86792,2889,29401,1243,129306,4032,11341,1063,67848,2310,20196,979,99385,3144,1772,427,18944,1333,9205,783,29921,1718,15656,831,103630,2574,16930,620,136216,3013,12161,775,62421,2135,6532,523,81114,2448,3495,482,41209,1741,10398,611,55102,2002,24722,1484,119244,2985,22665,570,166631,3972,20712,1321,89785,2198,11421,533,121918,3097,4010,640,29459,1688,11244,427,44713,1936,4.2,0.1
4,0400000US05,Arkansas,5,465650,1672,1652432,2255,475269,871,68863,2283,4650,621,16228,1210,1272,368,74.93,4.93,18.7,1.44,2593351,3403,41415,1491,102337,2014,5866,408,149618,3029,32951,1393,45500,1578,2304,354,80755,2245,8464,857,56837,1924,3562,349,68863,2283,2241,409,14070,1178,3701,442,20012,1393,1915,371,10878,988,2569,351,15362,1158,326,120,3192,536,1132,282,4650,621,5806,571,24193,1028,2394,266,32393,1318,3846,530,11375,891,944,225,16165,1048,1960,424,12818,936,1450,221,16228,1210,520,260,4160,679,306,99,4986,837,514,259,2996,511,204,82,3714,648,6,11,1164,357,102,53,1272,368,1.7,0.1
5,0400000US06,California,6,3707446,14094,13349981,32570,3429644,8339,4253679,19816,498572,6974,1743664,9945,125113,3928,55.51,10.07,32.1,2.33,20487071,50097,2258167,11203,7397212,22992,874242,3740,10529621,34494,1863818,11779,4112179,15141,299945,3585,6275942,23118,394349,5318,3285033,16258,574297,4967,4253679,19816,190403,3933,1150373,10146,300744,4747,1641520,13563,160301,3709,839242,8006,143405,2982,1142948,10021,30102,1498,311131,4936,157339,3441,498572,6974,380232,4257,2592336,9372,663690,3588,3636258,13481,288865,3983,1414257,9134,189472,2751,1892594,12179,91367,2407,1178079,7188,474218,3880,1743664,9945,56728,2076,269746,5298,47137,1663,373611,7169,45191,1828,180994,3928,22313,1248,248498,5214,11537,1327,88752,3128,24824,1094,125113,3928,9.1,0.1
6,0400000US08,Colorado,8,738258,3707,2919988,7615,656081,1757,217269,4360,28667,1476,45887,1328,14922,1419,65.08,10.63,17.55,6.73,4314327,10791,146965,3225,415548,5513,49912,1191,612425,7675,124149,3441,240570,4114,30437,929,395156,5820,22816,1390,174978,3765,19475,1052,217269,4360,15777,954,82697,2313,19834,1020,118308,2863,13003,862,63098,2033,13540,819,89641,2588,2774,442,19599,1155,6294,558,28667,1476,15074,870,77630,1723,11796,523,104500,2164,12019,761,43338,1485,3256,438,58613,1816,3055,482,34292,1090,8540,485,45887,1328,8546,984,34821,1785,3015,446,46382,2470,6972,938,23147,1335,1341,250,31460,1933,1574,418,11674,1270,1674,347,14922,1419,2.8,0.1
7,0400000US09,Connecticut,9,447185,2191,1701044,4720,495285,1715,156945,3308,79403,2979,33350,1469,8888,749,56.61,29.49,11.29,2.6,2643514,6580,76185,1859,292969,2665,30882,524,400036,3793,64891,1860,168466,3002,9734,781,243091,4098,11294,1072,124503,2632,21148,758,156945,3308,27873,1403,160411,3710,49732,1552,238016,4965,25039,1369,107370,2591,26204,1017,158613,3458,2834,388,53041,2474,23528,1070,79403,2979,10436,777,61271,1673,8172,514,79879,2226,8197,721,35226,1459,3106,399,46529,1857,2239,317,26045,1316,5066,467,33350,1469,5963,793,25604,1507,3509,405,35076,2067,5125,761,18591,1323,2472,346,26188,1831,838,241,7013,631,1037,252,8888,749,5.2,0.1
8,0400000US10,Delaware,10,126547,1040,496927,2018,155121,677,22610,1177,7068,942,7997,833,1460,439,57.08,18.49,22.94,1.49,778595,2698,15799,839,43345,1126,3513,229,62657,1579,13426,831,24787,1182,1834,273,40047,1533,2373,465,18558,1017,1679,264,22610,1177,2831,493,16658,1269,4742,500,24231,1662,2146,409,11734,895,3283,370,17163,1120,685,210,4924,750,1459,276,7068,942,2558,390,15624,950,2845,285,21027,1198,2161,323,9483,725,1386,258,13030,880,397,185,6141,749,1459,228,7997,833,837,308,6386,877,908,314,8131,1202,697,274,5528,802,446,147,6671,956,140,120,858,254,462,309,1460,439,2.3,0.1
9,0400000US11,District of Columbia,11,61657,811,394180,1885,72342,538,23428,1314,4227,702,4165,578,4748,784,59.05,12.22,14.38,14.35,528179,2405,10662,587,42561,1193,4098,253,57321,1519,7905,676,24105,1129,1883,323,33893,1331,2757,487,18456,1147,2215,306,23428,1314,2621,414,22839,1324,2708,411,28168,1625,2303,359,19537,1166,2101,320,23941,1375,318,160,3302,580,607,195,4227,702,833,207,10385,667,1358,164,12576,777,656,186,7252,657,503,147,8411,697,177,77,3133,471,855,176,4165,578,1272,340,11084,885,1206,227,13562,1074,955,295,7012,645,847,195,8814,738,317,153,4072,718,359,129,4748,784,3.5,0.2
10,0400000US12,Florida,12,2160566,7578,8425329,13893,3224916,4609,1796684,12607,346588,6652,135510,3144,35083,1834,78.74,14.81,5.04,1.41,13810811,20312,676957,5507,2950520,8048,572201,2485,4199678,11958,562162,6747,1668349,9934,172483,3301,2402994,12702,114795,3078,1282171,10678,399718,3675,1796684,12607,138561,3768,685068,9326,198804,3898,1022433,12814,117769,3548,450242,7142,107834,2682,675845,10157,20792,1477,234826,5698,90970,3029,346588,6652,36241,1475,229458,3987,48852,1237,314551,4988,28066,1487,130820,3116,20155,1132,179041,3914,8175,725,98638,2724,28697,1265,135510,3144,18807,1339,94836,3324,19603,1151,133246,4472,16046,1241,70133,2684,11984,945,98163,3599,2761,475,24703,1490,7619,777,35083,1834,6.9,0.1
