 OBJECTID, GEO_ID, GEO_NAME, Total Households Below the Poverty Level, Total Households Below the Poverty Level *margin of error, Households: Income Below Poverty Level (%), Population for whom Poverty Status is Determined, Population for whom Poverty Status is Determined *margin of error, Income to Poverty Ratio < 0.50, Income to Poverty Ratio < 0.50 *margin of error, Income to Poverty Ratio 0.50-0.99, Income to Poverty Ratio 0.50-0.99 *margin of error, Income to Poverty Ratio 1.00-1.24, Income to Poverty Ratio 1.00-1.24 *margin of error, Income to Poverty Ratio 1.25-1.49, Income to Poverty Ratio 1.25-1.49 *margin of error, Income to Poverty Ratio 1.50-1.84, Income to Poverty Ratio 1.50-1.84 *margin of error, Income to Poverty Ratio 1.85-1.99, Income to Poverty Ratio 1.85-1.99 *margin of error, Income to Poverty Ratio 2.00+, Income to Poverty Ratio 2.00+ *margin of error, All Households Below Poverty Level, All Households Above Poverty Level, Married-Couple Family Households Below Poverty Level, Married-Couple Family Households Below Poverty Level *margin of error, Married-Couple Family Households Above Poverty Level, Married-Couple Family Households Above Poverty Level *margin of error," Other Families HHlds w/Male Householder, with no wife present, Below Poverty Level"," Other Families HHlds w/Male Householder, with no wife present, Below Poverty Level *margin of error"," Other Families HHlds w/Male Householder, with no wife present, Above Poverty Level"," Other Families HHlds w/Male Householder, with no wife present, Above Poverty Level *margin of error"," Other Families Hhlds w/Female Householder, with no husband present, Below Poverty Level"," Other Families Hhlds w/Female Householder, with no husband present, Below Poverty Level *margin of error"," Other Families Hhlds w/Female Householder, with no husband present, Above Poverty Level"," Other Families Hhlds w/Female Householder, with no husband present, Above Poverty Level *margin of error", NonFamily Hhlds w/Male Householder Below Poverty Level, NonFamily Hhlds w/Male Householder Below Poverty Level *margin of error, NonFamily Hhlds w/Male Householder Above Poverty Level, NonFamily Hhlds w/Male Householder Above Poverty Level *margin of error, NonFamily Hhlds w/Female Householder Below Poverty Level, NonFamily Hhlds w/Female Householder Below Poverty Level *margin of error, NonFamily Hhlds w/Female Householder Above Poverty Level, NonFamily Hhlds w/Female Householder Above Poverty Level *margin of error," Percentage of families whose income in the past 12 months is below the poverty level with female householder, no husband present) - With related children of the householder under 18 years"," Percentage of families whose income in the past 12 months is below the poverty level with female householder, no husband present) - With related children of the householder under 18 years *margin of error"," Percentage of families whose income in the past 12 months is below the poverty level with female householder, no husband present) - With related children of the householder under 5 years"," Percentage of families whose income in the past 12 months is below the poverty level with female householder, no husband present) - With related children of the householder under 5 years *margin of error", Percentage of people whose income in the past 12 months is below the poverty level, Percentage of people whose income in the past 12 months is below the poverty level - All people *margin of error, Percentage of people whose income in the past 12 months is below the poverty level - Related children of the householder under 5 years, Percentage of people whose income in the past 12 months is below the poverty level - Related children of the householder under 5 years *margin of error, Percentage of people whose income in the past 12 months is below the poverty level - 65 years and over, Percentage of people whose income in the past 12 months is below the poverty level - 65 years and over *margin of error, Total Married-Couple Family Households, Total Married-Couple Family Households *margin of error, Total Other Families HHlds w/Male Householder, Total Other Families HHlds w/Male Householder *margin of error, Total Other Families Hhlds w/Female Househiolder, Total Other Families Hhlds w/Female Househiolder *margin of error
1,0400000US01,Alabama,319903,3830,17.2,4742208,1024,360959,8202,468441,10030,253831,5720,234252,7044,341805,9490,133637,4840,2949283,17184,319903,1540366,50964,1732,832422,6371,13914,926,64609,1968,95188,1946,172808,2921,64975,1617,222247,2960,94862,1973,248280,2751,46.9,0.9,49.5,2.6,17.5,0.3,28.4,0.9,10.3,0.2,883386,6445,78523,2159,267996,3171
2,0400000US02,Alaska,23700,864,9.35,720674,506,35602,1633,42263,2242,24577,1547,26230,1570,37870,2053,16387,1278,537745,3729,23700,229762,4349,387,121498,1719,2242,320,12717,817,5962,538,20865,857,5994,453,42273,1283,5153,493,32409,1121,29.6,2.3,33,5.7,10.8,0.4,15.9,1.2,5.4,0.5,125847,1680,14959,919,26827,1005
3,0400000US04,Arizona,362127,3964,14.35,6788985,1550,509325,9122,582867,10384,341454,9115,323012,7844,479774,8777,199156,6664,4353397,17324,362127,2162173,80436,2004,1119697,7734,23023,1241,115231,2666,86948,2398,222791,2933,79584,2057,347434,4134,92136,2000,357020,3873,36.9,0.9,37.3,2.2,16.1,0.2,25.1,0.7,9,0.2,1200133,8008,138254,2900,309739,3967
4,0400000US05,Arkansas,196481,2921,17.05,2903003,988,210464,5873,299873,6445,174549,4878,168010,5607,228923,6581,91671,4553,1729513,10997,196481,955694,35133,1330,523734,4404,10113,814,42885,1626,53096,1678,99855,2188,41525,1563,140736,2722,56614,1613,148484,2151,44.5,1.2,52.5,2.8,17.6,0.3,28.6,1,10.2,0.3,558867,4462,52998,1837,152951,2311
5,0400000US06,California,1706075,9765,13.16,38407403,3254,2401275,20801,3085866,27188,1803821,20415,1746259,20495,2460075,24081,999522,13547,25910585,62489,1706075,11259360,398722,4809,6038694,31694,107360,2419,665686,6108,421745,4522,1283021,7239,327344,3902,1592255,8970,450904,4244,1679704,7991,34.9,0.3,36,0.8,14.3,0.1,20.2,0.3,10.3,0.1,6437416,30928,773046,6430,1704766,8349
6,0400000US08,Colorado,224819,3216,10.64,5409817,1092,269128,6312,321376,7518,200761,4983,199621,6205,309444,6388,134904,4669,3974583,14257,224819,1888568,39758,1276,1010277,7451,9750,773,88141,2060,47391,1554,156366,2844,56734,1551,318862,3288,71186,1761,314922,3718,30.9,1,37.7,2.8,10.9,0.2,14.5,0.6,7.5,0.2,1050035,7250,97891,2106,203757,3126
7,0400000US09,Connecticut,137250,2218,10.04,3474901,837,162335,4737,186114,5149,109143,4109,108435,4504,167105,4916,63140,3592,2678629,9607,137250,1230124,18470,933,641894,4889,6421,520,55337,1769,36794,1385,134024,2390,30899,1177,178971,2293,44666,1322,219898,3086,29.7,0.9,29.5,3.4,10,0.2,14.9,0.8,7.3,0.2,660364,4850,61758,1903,170818,2706
8,0400000US10,Delaware,39958,1291,11.17,923678,588,50291,2357,59507,2865,31323,2170,33137,2503,50650,2717,21816,1989,676954,5163,39958,317807,6197,461,168136,2072,1927,346,14489,720,10860,736,36292,1299,8729,553,44645,1379,12245,820,54245,1679,31.9,2.1,34.7,6,11.9,0.4,19.9,1.8,6.6,0.5,174333,2127,16416,774,47152,1418
9,0400000US11,District of Columbia,43023,1288,15.29,650912,379,59892,2857,49605,2517,23513,2405,20312,1918,25517,1869,11314,1362,460759,3784,43023,238299,2193,355,69533,1413,1470,285,8341,659,12040,642,28211,846,10680,664,61310,1227,16640,897,70904,1364,39.4,2.1,31.8,6.3,16.8,0.5,21.1,1.9,14.5,1,71726,1313,9811,605,40251,978
10,0400000US12,Florida,1058418,7266,13.89,20178544,2671,1299551,16347,1684300,20643,1043650,13707,1031014,14929,1468272,18954,610299,11672,13041458,41015,1058418,6563342,213068,2950,3347450,22853,54281,1831,315950,4927,254408,3886,732684,6465,215855,3433,1015900,7875,320806,3921,1151358,6888,35.5,0.5,38.1,1.5,14.8,0.1,23.6,0.5,10.3,0.1,3560518,23030,370231,5108,987092,6220
